date,open,high,low,close,prior_close
2020-02-18,1686.0300,1687.3800,1674.6000,1683.5200,1687.5800
2020-02-19,1685.3300,1698.1600,1685.3300,1692.5699,1683.5200
2020-02-20,1689.4200,1698.9100,1677.6200,1696.0699,1692.5699
2020-02-21,1694.7300,1694.7300,1673.2000,1678.6100,1696.0699
2020-02-24,1676.6500,1676.6500,1620.1400,1628.1000,1678.6100
2020-02-25,1630.8700,1633.1100,1568.9700,1571.9000,1628.1000
2020-02-26,1572.2700,1588.3199,1551.3900,1552.7600,1571.9000
2020-02-27,1545.2500,1553.9800,1495.8900,1497.8700,1552.7600
2020-02-28,1496.8300,1496.8300,1448.2100,1476.4301,1497.8700
2020-03-02,1476.5900,1518.5100,1463.0601,1518.4900,1476.4301
2020-03-03,1518.5200,1539.7400,1472.7400,1486.0800,1518.4900
2020-03-04,1500.1500,1531.2000,1494.5800,1531.2000,1486.0800
2020-03-05,1522.8500,1522.8500,1462.9200,1478.8199,1531.2000
2020-03-06,1476.6300,1476.6300,1417.2700,1449.2200,1478.8199
2020-03-09,1396.2400,1396.2400,1310.7600,1313.4399,1449.2200
2020-03-10,1329.8800,1351.4800,1288.9301,1350.9000,1313.4399
2020-03-11,1349.2400,1349.2400,1249.2800,1264.3000,1350.9000
2020-03-12,1253.8700,1253.8700,1121.7200,1122.9301,1264.3000
2020-03-13,1153.7600,1210.1300,1109.3900,1210.1300,1122.9301
2020-03-16,1174.9700,1174.9700,1035.1899,1037.4200,1210.1300
2020-03-17,1043.8700,1106.6801,1011.9500,1106.5100,1037.4200
2020-03-18,1057.6500,1062.8800,966.2200,991.1600,1106.5100
2020-03-19,988.7100,1069.1500,968.8600,1058.7500,991.1600
2020-03-20,1064.7200,1087.7200,1009.5300,1013.8900,1058.7500
2020-03-23,1014.0800,1017.8900,966.4200,1002.4000,1013.8900
2020-03-24,1041.0699,1096.5400,1041.0699,1096.5400,1002.4000
2020-03-25,1100.1400,1146.8101,1075.8500,1110.3700,1096.5400
2020-03-26,1116.3000,1180.3199,1116.3000,1180.3199,1110.3700
2020-03-27,1163.9200,1163.9200,1125.6801,1131.9900,1180.3199
2020-03-30,1134.1400,1158.6400,1119.9500,1158.3199,1131.9900
2020-03-31,1155.6801,1164.6300,1130.3400,1153.1000,1158.3199
2020-04-01,1127.7300,1127.7300,1064.6000,1071.9900,1153.1000
2020-04-02,1071.4600,1102.3600,1055.6000,1085.8101,1071.9900
2020-04-03,1082.9000,1082.9000,1035.3900,1052.0500,1085.8101
2020-04-06,1085.8800,1139.9301,1085.8800,1138.7800,1052.0500
2020-04-07,1158.1700,1190.9800,1133.5500,1139.1700,1138.7800
2020-04-08,1151.0100,1197.1700,1147.2600,1191.6600,1139.1700
2020-04-09,1212.6600,1250.1300,1212.6600,1246.7300,1191.6600
2020-04-13,1240.9100,1240.9399,1200.9200,1212.0400,1246.7300
2020-04-14,1232.3199,1251.8800,1224.1500,1237.3300,1212.0400
2020-04-15,1221.7100,1221.7100,1176.0300,1183.9800,1237.3300
2020-04-16,1185.1000,1187.8400,1154.5200,1178.0900,1183.9800
2020-04-17,1191.8500,1231.9301,1191.8500,1229.1000,1178.0900
2020-04-20,1220.6300,1233.8600,1202.2200,1213.3500,1229.1000
2020-04-21,1192.2200,1195.8800,1173.9100,1185.0900,1213.3500
2020-04-22,1203.0100,1213.3400,1196.5400,1201.5200,1185.0900
2020-04-23,1203.6600,1232.5900,1203.6600,1214.0601,1201.5200
2020-04-24,1216.6801,1238.3101,1210.6200,1233.0500,1214.0601
2020-04-27,1243.4700,1289.1801,1243.4700,1281.8800,1233.0500
2020-04-28,1301.2200,1316.7100,1282.7700,1298.0800,1281.8800
2020-04-29,1314.0400,1373.3900,1314.0400,1360.7600,1298.0800
